id;name
1;куриное €йцо
2;м€гкий творог
3;пшенична€ мука
4;сахар
5;соль
6;перепелиное €йцо
7;помидор
8;огурец
9;клубника
10;ржана€ мука
11;сыр твердый
12;сыр сливочный
13;сыр плавленный
14;сыр творожный
15;молоко
16;козье молоко
17;сливки
18;уксус столовый
19;сода пищева€
20;ваниль
21;ванильный сахар
22;масло подсолнечное
23;щавель
24;крапива
25;морковь
26;картофель
27;лук репчатый
28;лук зелЄный
29;лавровый лист
30;специи
31;масло сливочное
32;разрыхлитель
33;оливковое масло
34;пармезан
35;филе куриное
36;булочки дл€ бургеров
37;изюм
38;майонез
39;капуста пекинска€
40;перец черный
41;соус вустерширский
42;чеснок
43;ветчина
44;панировочные сухари
45;перец острый
46;варенье
47;дрожжи
48;вода
49;томатна€ паста
50;базилик
51;сыр моцарелла
52;помидоры черри
53;рис
54;грибы
55;белое сухое вино
56;куриный бульон
57;рис дл€ суши
58;сухие водоросли нори
59;соевый соус
60;васаби
61;имбирь маринованный
62;авокадо
63;лосось
64;сыр филадельфи€
