id;name;img_folder_name;calories;instruction;time_id;history;advice
1;Завтрак для ленивых;id_1.png;87;1. В широкую миску выложить творог, добавить яйцо, сахар и муку и вилкой смешать до однородной консистенции. Если масса получилась слишком липкой, добавить еще муки, но не больше половины столовой ложки. <\n><\n>2. Посыпать стол небольшим количеством муки и выложить творожную массу. Разделить на две равные части и из каждой скатать колбаски одинаковой толщины. <\n><\n>3. Острым ножом нарезать колбаски на небольшие одинаковые кусочки. При желании можно слегка приплюснуть затем каждый кусочек и придать ему округлую форму <\n><\n>4. В небольшой кастрюле довести до кипения воду. Аккуратно один за другим опустить вареники в кипящую воду. Варить, слегка помешивая шумовкой, пока все вареники не всплывут на поверхность, плюс еще минуту<\n><\n>5. Готовые вареники выложить из кастрюли на тарелки и полить вареньем, например абрикосовым. Подавать их можно горячими или теплыми.;1;Ленивые вареники — те же галушки, только сладкие и выступающие сольно. Готовятся не дольше любой каши и в отличие от любой каши не вгоняют по утрам своим видом в тоску. Их можно подавать с любимым вареньем, домашним мармеладом, деревенской сметаной или любым сиропом. А можно просто полить растопленным сливочным маслом — все равно будет вкусно.;Ленивые вареники полностью оправдывают свое название — даже самый большой ленивец сможет устроить себе отличный завтрак! Тем более что ленивые вареники можно употреблять с любой вашей любимой заправкой будь то мед, кленовый сироп, джем, варенье, фрукты да и вообще все, что душе угодно. На худой конец, надеюсь, у вас найдется сметана или йогурт. Тесто можно приготовить заранее, например, с вечера, и заморозить, чтобы с утра просто достать вареники, кинуть в кипящую воду и не терять время на приготовление.
2;Щи из молодой крапивы и щавеля;id_2.jpg;178;Первым делом, мы помоем и почистим картофель, лук и морковь. Нарубим все овощи кубиками и отправим вариться в кастрюлю с подсоленной водой. А пока займемся зеленью. Вымоем, обсушим щавель, отрежем «ножки» и мелко нашинкуем на разделочной доске. А теперь крапива — так же промываем ее сортируем от плохих листочков и нарезаем. Загружаем траву в кастрюлю после овощей примерно через 15 минут и варим еще 5-10 минут. Потом даем немного настояться и разливаем по тарелочкам.;4;По предположению историков, щи были известны на Руси задолго до ее крещения. Когда-то щами называли практически все похлебки. Так, источники XVI века донесли до нас такие словосочетания: шти, шти капустны, шти борщовы, шти репяны. Позднее щами стали называть только капустные похлебки. Правда, и среди современных рецептов русской кухни встречаются, например, щи из щавеля, крапивы. Много пословиц и поговорок сложил русский народ о своем любимом кушаньи: «Кипятите щи, чтобы гости шли», «От щей добрые люди не уходят», «Щи хоть кнутом хлещи». Правда, последняя поговорка о пустых щах, без мяса.;Скажем прямо, крапива — тот еще деликатес. Из хорошей крапивы, как известно, получались замечательные веревки и канаты. Этого свойства у нее не отнимешь. А вот насчет еды... И все же крапиву ели всегда. Не от хорошей жизни, конечно, но ели еще с античных времен. Ее изображение красуется в старинных травниках, и средневековые люди хорошо знали, как именно сделать из нее съедобное и даже вкусное блюдо. Весь секрет в том, чтобы использовать только очень молодые, верхние листочки. В них еще нет тех прочных нитей, которые так пригодились бедной Элизе из сказки Андерсена «Дикие лебеди».
3;Блины на молоке;id_3.jpg;420;В глубокую миску разбить яйца. Добавить сахар и соль. Тщательно взбить яйца с сахаром при помощи венчика или миксера. Затем добавить молоко. Хорошо взбить смесь. Просеять муку. Небольшими порциями добавлять муку, хорошо взбивая блинное тесто венчиком, чтобы не было комков. Затем добавить растительное масло. Перемешать. Тесто для блинов готово к выпечке. Хорошо разогреть сковороду, первый раз налить 1 ч. ложку растительного масла и распределить его по сковороде (удобно силиконовой кисточкой). Налить тесто на сковороду (половину или 2/3 половника, зависит от размера сковороды). Быстро вращая сковороду, распределить тесто тонким слоем по дну сковородки. Печь тонкий блин на среднем огне с одной стороны 1-2 минуты, до румяности. Затем перевернуть и печь блин с другой стороны еще примерно 0,5 минуты. Подавать тонкие блины с любой начинкой - медом, джемом, сметаной, красной икрой и т.п.;5;Блины — одно из древнейших изделий русской кухни, появившееся ещё до IX в. в языческие времена. Слово «блин» — искажённое «млин» от глагола «молоть» (в украинском языке «млинець»).;Блины, возможно, были первыми изделиями из муки и уходят корнями в доисторические времена. Их разновидности есть у всех народов, использующих в готовке муку: русские блины, французские (тонкие) блинчики (фр. crepes), монгольский гамбир, китайские блинчики, болгарские палачинки, английские панкейки, индийская доса, эфиопская ынджера, мордовские блины и другие.
4;Молочные коржики;id_4.jpg;345;Мягкое сливочное масло растираем с сахаром. Добавляем яйцо и молоко, перемешиваем до однородности с помощью венчика. Молоко лучше подогреть до комнатной температуры, чтобы оно хорошо соединилось с остальными ингредиентами. Муку (350 г = 2 стакана объёмом 250 мл + 1 ст. ложка с горкой) объединяем с разрыхлителем и частями вводим к основной массе, замешивая тесто. Замешивать можно, для удобства, сначала ложкой, потом руками. Тесто получается мягкое, эластичное и совсем не липнет к рукам. Включаем духовку и разогреваем до 180 градусов.Раскатываем тесто в пласт 0,5 см толщиной и с помощью вырубки формируем коржики. Выкладываем заготовки на противень, застеленный пергаментной бумагой, на небольшом расстоянии друг от друга. Выпекаем при 180 градусах около 15 минут.;6;Кто и когда испек первый коржик – история умалчивает. Многие, наверное, помнят молочные коржики, продававшиеся в школьных столовых, кафе, кулинариях – довольно большие кругляши с волнистым краем, напоминающие формой солнышко. Их вполне приятный вкус, ненавязчивый запах ванили, и потрясающая цена – 8 копеек! – делали данные кондитерские изделия весьма популярными. ;Коржик — мучное кондитерское изделие, как правило круглой формы. Ассортимент коржиков: молочные, сахарные, миндальные, с изюмом, с маком, украинские: батуринские и маковые.
5;"Брускетта ""Цезарь""";id_5.jpg;268;Промыть водой куриное филе, обсушить и отбить до толщины 1 см. Замочить изюм в горячей воде. Достать лист для нежной курочки с чесноком и травами, раскрыть, положить филе на одну половину и прикрыть второй половиной листа. Прижать рукой.Обжариваем по 5 минут на небольшом огне под крышкой с двух сторон. Дать остыть и нарезать готовое филе на мелкие кусочки. Майонез, сливки, Вустерширский соус, чеснок, соль и черный перец выложить в блендер, изюм отжать от воды и выложить в блендер - сделать соус и откорректировать по вкусу. Выложить филе в соус и перемешать. Булочки разрезать на две части и обжарить на смазанной оливковым маслом сковороде-гриль или подсушить в духовке. Режем очень тонко пекинскую капусту - не солить! Выкладываем на брускетту капусту. На капусту выкладываем салат из курицы и присыпаем пармезаном. Сразу подаем на стол.;6;Салат получил название не по имени Гая Юлия Цезаря, а по имени человека, наиболее часто называемого автором этого блюда — американского повара итальянского происхождения Цезаря Кардини, который в 20-40-х годах XX века владел несколькими ресторанами в городе Тихуана, находящемся на территории Мексики. По легенде, салат был изобретён Кардини 4 июля 1924 года (в День независимости США), когда на кухне почти ничего не осталось, а посетители требовали пищи. В 1953 году салат «Цезарь» отмечен Эпикурейским обществом в Париже как «лучший рецепт, появившийся в Америке за последние 50 лет».;Закуска, которая никогда не останется незамеченной и со стола всегда исчезает в числе первых.
6;Кордон Блю;id_6.jpg;480;Куриное филе промыть под струей проточной воды, после чего просушить. На разделочной доске, накрыв пищевой пленкой, отбить мясо, чтобы оно стало тоньше и мягче. Ножом в каждом кусочке филе сделать надрез такого размера, чтобы в него поместилась позже ветчина и сыр. Натереть мясо со всех сторон смесью соли перца, не оставляя без внимания области внутри разрезов. Это позволит ломтикам пропитаться специями со всех сторон, распространив натуральные усилители вкуса равномерно. Внутрь полученных после разрезания куриного филе кармашков кладется ветчина и сыр. Предпочтительнее сначала положить ветчину, а уже на нее, сверху – сыр. Это обеспечит более полное сочетание вкусов за счет растекания сыра по бекону, а затем, после того, как в тарелке куриный Кардон Блю будет разрезан, сыр «обнимет» и саму мясную оболочку. Подготовить три емкости, каждая для своего ингредиента: яйца, муки, панировочных сухарей. Яйцо следует в своей емкости довести до однородной массы, тщательно перемешав белок с желтком вилкой. Куриное филе, с вложенной начинкой, аккуратно обвалять в каждой емкости по очереди. Сначала в муке, затем в яйце, и, наконец, в панировочных сухарях. Отправить на противень полуфабрикаты Кардон Блю, в духовке при этом должно быть уже 210 градусов. Поставить запекаться на полчаса. Противень предварительно обильно смазать сливочным маслом. Гарниром к куриному Кардон Блю отлично послужит отварной рис, а также картофельное пюре. Подавать блюдо следует горячим, чтобы при разрезании порции, сыр, расплавленный от воздействия высокой температуры духового шкафа, медленно вытекал из самой середины, окутывая своим ароматом блюдо.;6;«Кордон блю» (фр. cordon bleu [k??d???blo] — «синяя лента») — панированный в сухарях шницель из телятины, начинённый сыром и ветчиной, предположительно рецепт швейцарской кухни. Относительно происхождения названия блюда имеется несколько версий. Возможно, шницель кордон блю был победителем одного из кулинарных конкурсов во Франции. Возможно, шницель раньше перевязывали синей лентой. По ещё одной версии Людовик XV вручил орден Святого Людовика (носился на синей ленте) поварихе мадам Дюбарри, и с тех пор этим названием в шутку награждали всех хороших поваров и блюда. По четвёртой версии, на создание кордон блю повара одной состоятельной базельской семьи вдохновили синие ленты в волосах девочек, игравших во дворе.;Рецепт Кордон блю из куриного филе – прекрасный способ приготовить белое мясо курицы так, чтобы оно было сочным, с хрустящей корочкой. Начинка Кордон Блю из ветчины и сыра в духовке приобретает особенную нежную текстуру, что очень удачно сочетается с плотным, но мягким мясом. В качестве гарнира к такому блюду лучше других подойдет рис. Он отлично сочетается с курицей, и не добавит лишних калорий в порцию, ведь рис, как и белое куриное мясо, абсолютно диетический продукт. Приготовить блюдо совсем не сложно.
7;Сэм из варенья;id_7.jpg;0;Забродившее варенье развести в воде. Добавить дрожжи и сахар. Поместить в темное место и настаивать 3—5 дней. Затем перегнать. В результате получается 9 литров самогона. Если сахар в самогон из варенья не добавлять, выход продукта - 6 литров.;13;До революции 1917 г. нелегально производимые напитки назывались «корчма». Впервые слово «самогон» в значении кустарно произведенного в домашних условиях дистиллята в письменных источниках появилось в 1917 году. Ещё в середине XIX века слово «самогон» означало добычу зверя погоней, преследованием самим охотником, лесником, на ногах или на лыжах (не собаками, не верхом). После революции произошло изменение законодательно установленных терминов и «корчму» стали называть «самогонкой». Поэтому слово «самогон» в современном понимании довольно молодое.;Известны всевозможные рецепты самогона - его делают из зерна, овощей, фруктов и т.д. Также можно приготовить самогон из варенья, утратившего свежесть.
8;Пицца „Маргарита“;id_8.jpg;-1;Сделаем основу. Для этого возьмем большую миску и добавим муку, дрожжи и соль. Хорошенько размешаем, а затем вольем в смесь воду (теплая комнатная температура) и оливковое масло. Опять размешиваем до однородной массы. Перенесем тесто на предварительно посыпанную мукой, разложенную на столе кондитерскую бумагу. И месим в течении 5 минут. После накрываем полотенцем и отставляем в сторону, чтобы тесто поднялось. Хотя этот пункт не является обязательным. Если вам нужна тонкая корочка , то можно сразу приступить к следующему шагу. Теперь делаем соус для пиццы «Маргарита». Смешаем все ингредиенты: паста, базилик, чеснок. И оставляем на время при комнатной температуре пока будем готовить базу. Если вы не дали возможности подняться тесту, то сразу раскатываем. В любом случае, скалкой делаем круг 25 см — 30 см в диаметре. Тесто должно быть тонким, так как оно поднимется в духовке. Приготовим начинку — основной состав. Разогрейте духовку до 220-240 градусов. Установите на верхней полке духовки противень, можно его даже перевернуть. Намазать на тесто соус задней (выпуклой) частью ложки по всей поверхности. Разбросать тертый или нарезанный дольками сыр и помидоры. Сбрызнуть оливковым маслом и приправить. Поместить лоток с тестом на разогретый противень в духовке. Выпекать в течение 8-10 минут до хрустящей корочки.;9;"""В 1889 году королева Италии Маргарита Савойская, жена короля Умберто I, посещала Неаполь. Королеве наскучила французская изысканная еда, которая была традиционной для Европы в то время. Она увидела, что многие местные жители едят большие лепешки, и ей стало любопытно. Королева попробовала одну из """"лепешек"""", и они ей настолько понравились, что она вызвала самого известного мастера по приготовлению пицц в Неаполе, Раффаэле Эспозито, и попросила его испечь различные пиццы. Ее любимой стала пицца с помидорами, ломтиками моцареллы и базиликом, которая также содержала цвета итальянского флага.""";Если тесто слишком влажное, добавьте немного больше муки. Если тесто для пиццы получилось слишком эластичным, то его следует оставить на минут 10 в покое, и затем повторить заново раскатать. И еще постарайтесь сильнее нажимать. Нижняя часть пиццы подрумянилась и близится к финалу готовки, а верх еще не «дошел» — выньте пиццу и накройте фольгой и обратно поставьте в духовку на 6 минут. А теперь чуть больше начинки для пиццы Маргарита. Не зацикливайтесь на одних помидорах и сыре, вы всегда можете проявить свою фантазию и изменить основной состав. Овощи на гриле, оливки, ветчина, пикантная колбаса, шпинат и яйцо… И еще в качестве эксперимента, можно решиться приготовить «закрытую пиццу» — т.е. 2 круга по 30 см в диаметре, на одну половинку теста как положено, а другой накрываем, смазывая края водой.
9;Ризотто с белыми грибами и сливками;id_9.jpg;560;Лук мелко порезать, измельчить чеснок. В глубокой сковородке (сотейник с толстым дном) разогреть оливковое масло и ломтик сливочного. Сначала обжарить лук до прозрачной мягкости. Высыпать рис в пассерованный лук, постоянно помешивать (несколько минут) затем добавить чеснок, тщательно вмешать. Добавить грибы, помешивать 2–4 минуты. Добавить в ризотто белое сухое вино. Непрерывно помешивать. Через несколько минут добавить куриный бульон. Вливать его следует небольшими дозами, первая доза — 2 половника, затем по мере испарения по одному половнику. Во время приготовления ризотто бульон следует поддерживать в полукипящем состоянии, т.е. очень нагретым, но не кипящим. Через 15 минут приготовления рис следует попробовать. Он должен быть в состоянии аль денте. Немного посолить ризотто. Сливки вылить в миску, натереть туда сыр на мелкой терке, перемешать. Снять ризотто с огня и тщательно вмешать туда сырно-сливочную смесь. Дать постоять несколько минут, после чего подавать на стол.;3;Ризотто – это традиционное итальянское блюдо, которое появилось в Северной Италии два века назад. Существует легенда о том, что некий итальянский шеф-повар забыл на плите рисовый суп, бульон из него выкипел, и остались только зернышки риса с мясом. Посетители ресторана требовали свой заказанный суп, а им вместо этого принесли что-то наподобие рисовой каши. Однако гости были так приятно удивлены вкусом этого блюда, что попросили повара испортить еще один суп. Так и появилось это лакомство. В переводе слово «ризотто» значит «маленький рис». И это вовсе не разновидность плова, не рисовая каша.;Не столь важно, что вы добавите в свое ризотто, основным компонентом все равно является рис, и к его выбору стоит подойти с особым вниманием. Чтобы блюдо приобрело необходимую консистенцию чего-то среднего между кашей и рассыпчатым пловом, нужно выбирать сорта с высоким содержанием крахмала. На прилавках наших магазинов чаще всего можно найти рис арборио, который идеально подойдет для ризотто с грибами. А если вы будете в Италии, то можно запастись и рисом виалоне нано или карнароли. Они лучше всего раскрываются при обжаривании и полностью впитывают бульон и вино.
10;Ролл «Филадельфия»;id_10.jpg;280;Положите водоросли нори блестящей стороной вниз на макисо. Выложите ровным слоем рис на прессованные водоросли нори, смочив руки в тэдзу, оставляя дальний от вас край на 1 см без риса. Переверните лист таким образом, чтобы рис оказался на поверхности бамбуковой циновки. Посередине водорослей нори нанесите васаби, затем сыр «Филадельфия». Очищенные от кожуры огурец и авокадо нарежьте на полоски и выложите на середину нори. После наполнения ролла начните его аккуратно скручивать, затем несильно надавите на циновку. Прижмите на середине и сделайте брусочек из ролла. Нарежьте лосось тонкими кусочками и положите на ролл, слегка прижимая к нему. Нарежьте ролл «Филадельфия» на 6 равных кусков и подавайте к столу с маринованным имбирем, васаби, соевым соусом.;4;Роллы — это японское традиционное блюдо из специально приготовленного с уксусом риса в сочетании с разнообразными ингредиентами, главным образом морепродуктами (чаще сырыми), овощами, а иногда и с тропическими фруктами, например, авокадо. Разновидности роллов и их подача широко варьируются, но ключевым ингредиентом во всех случаях является рис, который также известен как шари, или сумеши. Роллы готовят с коричневым либо с белым шари-рисом. В российской практике используются жареные или вареные ингредиенты. Не менее важный ингредиент — нори. Это сушеные листья водорослей, которые используют для приготовления большинства видов роллов. Вкусовым дополнением часто становится отдельно поданный маринованный имбирь, соус васаби и соевый соус. Из овощей в роллах используют дайкон, огурец, спаржу, ямс и кукурузу.;Вместо лосося можно взять семгу.
